id;type d'unit�;description;photo;cycliste;fonction 1;fonction 2;taille;diam�tre;unit�s du diam�tre;longueur;unit�s de  longueur;largeur;unit�s de largeur;hauteur;unit�s de hauteur;nombre de dents;nombre de trous;diam�tre du pivot;unit�s diam�tre du pivot;diam�tre du cintre;unit� diam�tre du cintre;longueur d'axe;unit� longueur d'axe;poids;unit�s poids;mati�re;vitesses;compatibilit�;marque;prix;mod�le;mode d'emploi;URL;;;;;;;;;
ref0001;v�lo urbain;V�lo maniable et polyvalent.;http://www.probikeshop.fr/images/products2/282/109397/600x600-109397-109397-1.jpg;homme;v�lo;;L;;;;;;;;;;;;;;;;;12,85;kg;;;;KONA;699,90 ?;BIG ROVE;;http://www.probikeshop.fr/velo-de-ville-kona-big-rove-noir-2-aa5/109397.html;;;;;;;;;
ref0002;cadre;Cadre de la marque KONA, noir, tr�s confortable.;http://www.probikeshop.fr/images/products2/282/109397/600x600-109397-109397-4.jpg;;cadre;;L;;;;;;;;;;;;;;;;;;;acier chromoly ;;;KONA;;BIG ROVE;;;;;;;;;;;
ref0003;roue avant;;http://cdn.mantel.com/product.php?image_id=28075&w=760&h=510;;roue;;;29;pouces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0004;roue arri�re;;http://cdn.mantel.com/product.php?image_id=28075&w=760&h=510;;roue;;;29;pouces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0005;fourche;;http://www.probikeshop.fr/images/products2/282/89804/600x600-89804-kona-fourche-rigide-p2-29-disque.JPG;;direction;;;29;pouces;;;;;465;mm;;;28.6;mm;;;;;1185;g;acier chromoly ;;frein � disque;KONA;139,90 ?;Kona Project 2;;http://www.probikeshop.fr/kona-fourche-rigide-p2-29-disque/89804.html;;;;;;;;;
ref0006;frein avant;Frein � disque hydraulique.;http://www.tektro.com/upfiles/propic01425541550.jpg;;freinage;;;160;mm;;;;;;;;;;;;;;;295;g;aluminium;;;Tektro;74,95 ?;HD-M290;mode d'emploi;http://www.tektro.com/_english/01_products/01_prodetail.php?pid=217&sortname=Disc&sort=1&fid=1;;;;;;;;;
ref0007;plaquette;;;;freinage;;;;;;;;;;;;;;;;;;;;;;;;Tektro;;E10.11;mode d'emploi;http://www.tektro.com/_english/01_products/01_prodetail.php?pid=174&sortname=Brake+Pads&sort=1&fid=4;;;;;;;;;
ref0008;disque;;http://www.tektro.com/upfiles/propic01398215059.jpg;;freinage;;;160;mm;;;;;;;;;;;;;;;118;g;;;;Tektro;;TR160-8;;http://www.tektro.com/_english/01_products/01_prodetail.php?pid=14&sortname=Parts&sort=1&fid=5;;;;;;;;;
ref0009;�trier;;;;freinage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0010;patin;;;;freinage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0011;durite;;http://www.tektro.com/upfiles/propic01307422798.jpg;;freinage;;;;;1800;mm;;;;;;;;;;;;;;;;;;Tektro;;;;http://www.tektro.com/_english/01_products/01_prodetail.php?pid=24&sortname=Parts&sort=1&fid=5;;;;;;;;;
ref0012;piston;;;;freinage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0013;frein arri�re;Frein � disque hydraulique.;http://www.tektro.com/upfiles/propic01425541550.jpg;;freinage;;;160;mm;;;;;;;;;;;;;;;315;g;aluminium;;;Tektro;74,95 ?;HD-M290;mode d'emploi;http://www.tektro.com/_english/01_products/01_prodetail.php?pid=217&sortname=Disc&sort=1&fid=1;;;;;;;;;
